Name,Award / Degree,Current Department,Current College or Division,Active Concentrations-CHE Approved
"Agricultural Mechanization & Business, BS ",Bachelor of Science,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Agribusiness, BS",Bachelor of Science,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Agricultural and Applied Economics, MS",Master of Science,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",Non-Thesis Option (N/A)
"Applied Economics, PhD",Doctor of Philosophy,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Wildlife and Fisheries Biology, BS",Bachelor of Science,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",
"Wildlife and Fisheries Biology, PhD",Doctor of Philosophy,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""","Conservation Biology (N/A), Fisheries Biology (N/A), Wildlife Biology (N/A)"
"Turfgrass, BS",Bachelor of Science,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Agricultural Education, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Animal and Veterinary Sciences, BS",Bachelor of Science,Department of Animal & Veterinary Sciences,"""College of Agriculture, Forestry and Life Sciences""","Animal Agribusiness (ANAG), Pre-Veterinary Sciences (PREV), Equine Business (EQUI)"
"Food, Nutrition, and Packaging Sciences, PhD",Doctor of Philosophy,"""Department of Food, Nutrition, & Packaging Sciences""","""College of Agriculture, Forestry and Life Sciences""",
"Food Science and Human Nutrition, BS",Bachelor of Science,"""Department of Food, Nutrition, & Packaging Sciences""","""College of Agriculture, Forestry and Life Sciences""","Food Science and Technology (FDST), Nutrition (NUTD)"
"Food, Nutrition and Culinary Sciences, MS",Master of Science,"""Department of Food, Nutrition, & Packaging Sciences""","""College of Agriculture, Forestry and Life Sciences""",Non-Thesis (N/A)
"Plant and Environmental Science, MS",Master of Science,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""","Agricultural Biotechnology (N/A), Soil and Water Science (N/A), Agronomy (N/A)"
"Plant and Environmental Science, PhD",Doctor of Philosophy,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Horticulture, BS ",Bachelor of Science,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"Plant and Environmental Science, BS",Bachelor of Science,Department of Plant & Environmental Sciences,"""College of Agriculture, Forestry and Life Sciences""","Agricultural Biotechnology (AGBI), Soil and Water Science (SWS), Agronomy (AGRO)"
"Agriculture, MS",Master of Science,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""","Agricultural Systems Management (AGSM), Agricultural Education (AGRE)"
"Agriculture, PhD",Doctor of Philosophy,Department of Agricultural Sciences,"""College of Agriculture, Forestry and Life Sciences""","Agricultural Systems Management (AGSM), Agricultural Education (AGRE)"
"Environmental and Natural Resources, BS",Bachelor of Science,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""","Natural Resources Management (NRMG), Natural Resources and Economic Policy (NRE), Conservation Biology (COBI)"
"Forest Resources, MFR",Master of Forest Resources,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",
"Forest Resources, MS",Master of Science,Department of Forestry & Environmental Conservation,"""College of Agriculture, Forestry and Life Sciences""",
